lambda,pdf,error
58,3.3066661990114471792557898678656824125315435434178298527464851826e-4,6.69402856e-71
59,3.1917762652083275282793643253508297039878673599435103232878348824e-4,6.71987951e-71
60,3.0827343328144741553273568758076519184674124012374681142744323084e-4,6.74589007e-71
61,2.9791520289949357343761589283517213125384787008113009376751699995e-4,6.77205041e-71
62,2.8806725694940143981168672281897930771080854950465207294950742161e-4,6.79835867e-71
63,2.7869677349871689339432196579594118620168860092562375270131895486e-4,6.82481515e-71
64,2.6977351788249885297149761671609853149482763631211909813022394766e-4,6.85142072e-71
66,2.5315927239512467608267022891803390756425014856327318955307030228e-4,6.90508335e-71
68,2.3802587684993272470043347744627474339545640759385954394993205917e-4,7.73142129e-72
70,2.2420311723111046575587688255451255388555416914249535072988656312e-4,7.76012268e-72
72,2.1154447559997198166607972062832697061604244489536708820536774743e-4,7.78897894e-72
74,1.9992328910197411890379562253691049311201481509291073234642987282e-4,7.81799117e-72
76,1.8922961461456178723839572899140998218731587209101813200741426160e-4,7.84716045e-72
78,1.7936765495788343144638356630047348528499935865577973131309664876e-4,7.87648788e-72
80,1.7025363480496233698177186315427590818712508590664677964582497934e-4,7.88648428e-72
82,1.6181403884558444527655416333188183188243977779341071555396953172e-4,7.91613137e-72
84,1.5398414340280340204094412038952715342090774187159881641718731508e-4,7.94593998e-72
86,1.4670678703725888241865206776159254460012165777820285051205285813e-4,7.97591126e-72
88,1.3993133677139264977866547399135983534485636963224066735520516696e-4,8.00604636e-72
90,1.3361281520947269910964905559934613206417473783794793112256575162e-4,8.03634644e-72
92,1.2771116060295070742400336774344317573348910018141863899150981465e-4,8.06681268e-72
94,1.2219059724922378287529687718703824995133321352682208449956743298e-4,8.09744624e-72
96,1.1701909784245216771001462885215934024351382696392783441369416506e-4,8.12824834e-72
98,1.1216792276520663635699750461380834513255550433148514226643501092e-4,8.15922017e-72
100,1.0761122400783727958199727688735055232324703801305893619002964785e-4,8.19036295e-72
102,1.0332570357292233932825270630865068988569125437216425824285631149e-4,8.22167790e-72
104,9.9290317976179568626729849842790640022245446765997465015372917615e-5,8.25316625e-72
106,9.5486021878948061011469240573639457878322336634910480128931589157e-5,8.28482927e-72
108,9.1895545047858268549020014591299147533420747595635774225663927285e-5,8.31666819e-72
110,8.8503197787105272802474485556483623656103532788568339222997487226e-5,8.34868430e-72
112,8.5294700769117782110865553972478352745556624434395289241016708267e-5,8.38087887e-72
114,8.2257035833000242751330120552641986817655917924041552335668037686e-5,8.41325320e-72
116,7.9378314852814613924288864006853661957559190710900749541491534301e-5,8.44580859e-72
118,7.6647664220205340646587455752127764291391472757442900633252751029e-5,8.47854634e-72
120,7.4055122854580563639537789845923338650406071700065723045329811881e-5,8.51146781e-72
122,7.1591551962325491837016578169015075938541375986687995917445251947e-5,8.54457431e-72
124,6.9248555025055356898458439221182484988384723714513861949982555653e-5,8.57786720e-72
126,6.7018406714393087843837494678638165260817701541496106515300908626e-5,8.61134785e-72
128,6.4893989614233698970533397811196305881737647726650333876445745443e-5,8.64501763e-72
132,6.0936586349568449161576671979417099328848387799736599202603433210e-5,9.67674178e-73
136,5.7329564276961237695573780114686984655787842363109312613571205208e-5,9.71267175e-73
140,5.4032822870882016807654993825955445828648247829667523325493778017e-5,9.74879563e-73
144,5.1011830456252275787377280572142973197464421577563173386984945209e-5,9.78511474e-73
148,4.8236722368609488637164317169446745089185228454213057378006620969e-5,9.82163048e-73
152,4.5681564852246390944976521547501370171043226211879056588329174047e-5,9.85834420e-73
156,4.3323750807019495991411802263686470576360633797731013625592584789e-5,9.89525732e-73
160,4.1143501089987249554821781997705396316348255919623482299815150382e-5,9.93237124e-73
164,3.9123450829257332654630432104527865893809877416313757358355639948e-5,9.96968736e-73
168,3.7248304594998386519031900240540808320561962680290451913947149797e-5,1.00072071e-72
172,3.5504547643715139002162472949759023345233808417257528789549664461e-5,1.00449320e-72
176,3.3880203059598337865957983993293704789115579227101042267055881605e-5,1.00828634e-72
180,3.2364626646899306195683697436154867488490611298012433537066025698e-5,1.01210028e-72
184,3.0948333017434253914995271172715424405935086577306594986142018298e-5,1.01593517e-72
188,2.9622847570105449678636822685587373835655381672054308680217854384e-5,1.01979115e-72
192,2.8380580051794040211182577075564506384529740101101431885159003478e-5,1.02366839e-72
196,2.7214716179390429311038380806819511488939132164796355074578709967e-5,1.02756703e-72
200,2.6119124435407442864885830187497407459276399743641880017385774676e-5,1.03148722e-72
204,2.5088275658498612415330922189592395713653651187726003661667757100e-5,1.03542912e-72
208,2.4117173461402594426488302093853074879635007846719763692926244787e-5,1.03939288e-72
212,2.3201293842581036540850355622281308173005832925533198819906581362e-5,1.04337867e-72
216,2.2336532629854615429518431719456984107109063090255841192501328208e-5,1.04738664e-72
220,2.1519159616987762864401240362039430022111160716879629094894034822e-5,1.05141695e-72
224,2.0745778437110868417706624140870814027227919966783364925278998411e-5,1.05303348e-72
228,2.0013291367749358571031671560286803831950077866246491310147023565e-5,1.05710896e-72
232,1.9318868387122408550914882203962603086580690106991223311906021539e-5,1.06120727e-72
236,1.8659919905118275465312805017656318556532039168360356144754712176e-5,1.06532858e-72
240,1.8034072678820594431321303566756324182491075125681876569210456858e-5,1.06947306e-72
244,1.7439148494762220238371361909773729473616395073754865532672029919e-5,1.07364087e-72
248,1.6873145260730751285121456487005063631233245157253429678721263209e-5,1.07783218e-72
252,1.6334220200975678363391071443823066893845270396388464417621302439e-5,1.08204717e-72
256,1.5820674891723428725299218089327977579494981247570034642059084143e-5,1.08628602e-72
264,1.4863572902404633968180326804161606025578945020226713981999531393e-5,1.23736556e-73
272,1.3990665724864535394131016630911109287278521309282813639637087781e-5,1.24187433e-73
280,1.3192368408332307073166309945353467423498631865716568423709683528e-5,1.24640744e-73
288,1.2460421241600368610800291227292518055313993838969152746731910961e-5,1.25096510e-73
296,1.1787675922558132540154946832378152199641608216516169645557985380e-5,1.25554745e-73
304,1.1167920905876886160000456321905713906754081832421481603200563233e-5,1.26015486e-73
312,1.0595737937916964809678106748404807388257567549361948293218120798e-5,1.26478734e-73
320,1.0066383575245529757094360139887750158672725168609677143410372913e-5,1.24508247e-73
328,9.5756908372052396632671866982424398229020686692161954171975962552e-6,1.24976683e-73
336,9.1199871765231137520263148399321221461605695692959490525541031166e-6,1.25447984e-73
344,8.6960257464901319208928638261506089538424278679255076810443453902e-6,1.25921221e-73
352,8.3009275581816554220436574859617734010131640646469172984409018879e-6,1.26398594e-73
360,7.9321326001848303157002382573128464225963177632619229253688255529e-6,1.26877045e-73
368,7.5873583686858250186957947637413657482418312286182542455041844605e-6,1.27364546e-73
376,7.2645645516709595286804962439385001626469969894630249617259856485e-6,1.27849417e-73
384,6.9619228455363726474557517373289017015645182319832368699332353804e-6,1.28338088e-73
392,6.6777910692896422021345673426216824959479122190381110884671751887e-6,1.28831344e-73
400,6.4106908911986318657838866671449130521089781041770657709070444304e-6,1.29330900e-73
408,6.1592886031891179131337404620759955867757795103605704670160526654e-6,1.29840646e-73
416,5.9223784756691165533555896628148775965872134204623039438174285040e-6,1.30369949e-73
424,5.6988683045324213387450585439800385983096095524626782927217156677e-6,1.30943053e-73
432,5.4877668265797818120803735433643530642601986592938103470542417501e-6,1.31627748e-73
440,5.2881727323997635451023225933205393028260606316038340887062950287e-6,1.31946592e-73
448,5.0992650491587040737317983530225736441894220541480032164831785995e-6,1.32693786e-73
456,4.9202947015669994888388252395847938460709749540380931129659455591e-6,1.33010706e-73
464,4.7505770889515240162859296712402928807504944545682923071757585987e-6,1.33943199e-73
472,4.5894855410149511651253751212944524781305282895615862699257095097e-6,1.34191204e-73
480,4.4364455354178465890401726534612917851311781078821981420142983466e-6,1.35703718e-73
488,4.2909295775148547965809944468500580819113359080029772864102117251e-6,1.35738190e-73
496,4.1524526570063048189395165148165856796917490824357410492348673372e-6,1.35985200e-73
504,4.0205682084125026752826669814716703018235099529931281727007631457e-6,1.36349109e-73
512,3.8948645125312754556502484177046464510713074656000604921207750492e-6,1.38732215e-73
528,3.6605078032064603724648434004644986818671074144474137379995147597e-6,2.81635216e-74
544,3.4466718376662543176379203076909093885698895060841110666623669015e-6,2.71037835e-74
560,3.2510299244224741801279831217942257917078891787056277294641963289e-6,2.87971474e-74
576,3.0715759141186876526155202419243437647231620808537046573581419845e-6,3.45536965e-74
592,2.9065726449317110306432534586511109339694662884370210394746162249e-6,4.97144122e-74
608,2.7545098066172454771454430374770692555411678007113603152848276490e-6,3.89268703e-74
624,2.6140693071434301250322554495680494428269787991445555756186335924e-6,7.99663181e-74
640,2.4840966534028348560834751762127123427905811539853591996388161866e-6,7.93745696e-74
656,2.3635771816215371425265901000658155433936035858044129413519220111e-6,9.07003823e-74
672,2.2516162206563480032491595139690016611140055381480264744223931940e-6,1.20805430e-73
688,2.1474224618156741980040418795061745229882613306654565163213046517e-6,6.13405928e-74
704,2.0502939563272853690824794550041460176587890640325767600241552071e-6,1.03631380e-73
720,1.9596062765288992321448472307932829038140861486034922697009941362e-6,6.53018874e-74
736,1.8748024669982511409110962183888129188139265212496082138133077765e-6,1.47470103e-73
752,1.7953844829339151515327398185526757709902158680673377339809099485e-6,1.12223569e-73
768,1.7209058694811278745739428326241401813440120980976198450316383318e-6,9.52209940e-74
784,1.6509654806485866557271632152463563680994392122532749106557254636e-6,8.93699157e-74
800,1.5852020724810180385830001323204017063246057576448958315064668592e-6,9.24387134e-74
816,1.5232896341526149011480946113228351101405981080222961189035639134e-6,1.05597908e-73
832,1.4649333441036430696753992897860577163114094759589268524942496541e-6,1.34211859e-73
848,1.4098660574000701094573818619427991991256545515520938952676112001e-6,1.91663211e-73
864,1.3578452460448683144803753979019634488972326063195449968486716669e-6,7.09901454e-74
880,1.3086503267073675173767046898452774202682142209174531549310695383e-6,1.16275662e-73
896,1.2620803208127250200664911277145047894669710066593852110973715053e-6,2.22225853e-73
912,1.2179518005813521211156682919536308961768111083859522028246814912e-6,9.74887997e-74
928,1.1760970817727844563854795079297372343045766724017584351754264987e-6,2.22978523e-73
944,1.1363626298450550555047056108020377885187371974474377872127915394e-6,1.10906346e-73
960,1.0986076512094558999436057944591536004005797550548461129719110536e-6,3.13397938e-73
976,1.0627028454188688934335768286455827158807786673583808392269767517e-6,1.74114089e-73
992,1.0285292976186991231589766156930218972224799924763308015112521245e-6,1.05432147e-73
1008,9.9597749352882183780467898011759428314366784330214146837281494327e-7,6.98801466e-74
1024,9.6494644170719151474701861984807981409691510840261029752647883255e-7,2.63735622e-73
1056,9.0708062445114686854692496083347021003526659140150701162530744315e-7,9.91006827e-73
1088,8.5426658606210844697383395636613852483046453056323554833907967837e-7,6.88069151e-73
1120,8.0593307514616797295106995441361723384004110002325055460788617974e-7,6.07984624e-73
1152,7.6158734861000665859136072878975782058502734674865975029647620893e-7,6.83910942e-73
1184,7.2080257292914481629174307235428110994029392185233309964001100847e-7,9.80152889e-73
1216,6.8320752236212896692830469759020299931013350767406973397415637544e-7,5.50603871e-73
1248,6.4847810773306440455286246016873441712052005055156632073368700685e-7,1.24349974e-72
1280,6.1633037328594615049334652716328920509755840256389083355493707756e-7,1.03523908e-72
1312,5.8651467790967920967691905669654023100643335207263589343153595745e-7,1.03446709e-72
1344,5.5881083724825293698955334269072805848590179060310705829974398473e-7,1.24076886e-72
1376,5.3302404955396320352821112478798292010370804509763143869024704706e-7,4.70751905e-73
1408,5.0898146404872809394001320556678756858239780787218477380325238115e-7,7.88757728e-73
1440,4.8652927855744872639347109451109622168154668956938965346097734247e-7,3.93664627e-73
1472,4.6553027514246121491368168174991360595648496510567499019708759026e-7,9.22338240e-73
1504,4.4586171979943423543594145621857221225265937532820562263386458580e-7,6.05194889e-73
1536,4.2741356602558466496220197079578598666949318638190202783575997000e-7,4.48757440e-73
1568,4.1008691303807200525092106443468043052196898593165971434297875406e-7,3.75979266e-73
1600,3.9379267821136145420917822861403938182124325036104095214175044012e-7,3.55862745e-73
1632,3.7845045038288566415602843698479779960219152922536559278292460935e-7,3.80511480e-73
1664,3.6398749640552780187059499194613474651694751749926837140649258327e-7,4.59745091e-73
1696,3.5033789798165947386704259506994072928355188599949305575463190907e-7,6.27909538e-73
1728,3.3744179961366282731216793894927014936432285976719172782083971648e-7,9.69795361e-73
1760,3.2524475162001935968335000874082216479548999621943041233811587652e-7,3.08612487e-73
1792,3.1369713472796820511842504819866242705950756659147987213935063704e-7,5.89836417e-73
1824,3.0275365486925977035960680734679336737704627483775893151902792714e-7,2.19120098e-73
1856,2.9237289855874528523945345615007703180132706501556091538499022437e-7,5.18244374e-73
1888,2.8251694069354988662441847141286445661337128000725253109131462788e-7,2.24329497e-73
1920,2.7315099782714530132884737650703450185033763668720140289956062642e-7,6.57788711e-73
1952,2.6424312099102793528796538555896547496941286975408160282343401693e-7,3.31340233e-73
1984,2.5576392299185937291537859078337018038102709887917514101788942659e-7,1.77914157e-73
2016,2.4768633583216531267426698821463841062142419399337445909286119869e-7,1.01954631e-73
2048,2.3998539451106350460345854576134626237001612349801279230278808663e-7,4.41837919e-73
2112,2.2562296644072943591146250541625330886763913790105457946878422743e-7,1.59288196e-72
2176,2.1251213291207360466835372516899932985513254102104984271114826023e-7,1.01204875e-72
2240,2.0051159837647832884348574005826334830904087643674196292796771088e-7,8.22931215e-73
2304,1.8949945621844036971840504023355403130156494246624784618955849645e-7,8.56516820e-73
2368,1.7937008170334025544636543123195935248759996064559175600373087773e-7,1.14127941e-72
2432,1.7003159063741760820418712961490992023289831454136465125760477915e-7,5.98744560e-73
2496,1.6140374901969922676806816217508508291699545436503335956686165828e-7,1.26814069e-72
2560,1.5341624448834616759985738061795821867679550904693985754719170853e-7,9.94169326e-73
2624,1.4600724973014979342169372681243863202150695553387680394317508907e-7,9.38253659e-73
2688,1.3912222282665024816260098649234910389504572695918614508778677007e-7,1.06605565e-72
2752,1.3271290090815347081764273603060970488752888141497422448467806996e-7,3.84115836e-73
2816,1.2673645232074981136333877657924995194013036254712424394521376950e-7,6.13327307e-73
2880,1.2115475940174115512197870608742936613154255294645225616281209548e-7,2.91994186e-73
2944,1.1593380936586086874910230618789292977141737371255378194935057766e-7,6.55333789e-73
3008,1.1104317507215684323872479165035551676211938247164196894866248598e-7,4.12202510e-73
3072,1.0645557082809035337639689086028686614910184036920261111787845982e-7,2.93492156e-73
3136,1.0214647108920304705198009054189180206199343671119083274086391497e-7,2.36541154e-73
3200,9.8093782078945474622554698174144967253260053695874220184767606239e-8,2.15786119e-73
3264,9.4277558098442907118361622425977867042794355007825439765096647613e-8,2.22813278e-73
3328,9.0679755708403138004115205353974526312184437022251363439367267700e-8,2.60420911e-73
3392,8.7284020113527675165056811700748727409947556459146450785866316093e-8,3.44558854e-73
3456,8.4075499017061721575945066624039449335649811223462365418510802380e-8,5.16112396e-73
3520,8.1040679981345344458706294759568738622833680034031529678029659671e-8,1.59032601e-73
3584,7.8167247962350748373438677054430269618920075562155491041539191154e-8,2.95809200e-73
3648,7.5443960208270156855195027212875316674121548411957724461846963203e-8,1.06483341e-73
3712,7.2860536144966426379005114649231282479761430290711467986008118484e-8,2.46041675e-73
3776,7.0407560231044507911225818428699668994505835770882784969577931115e-8,1.03435718e-73
3840,6.8076396065695005028618674525941331242030128040753067260724758910e-8,2.96942370e-73
3904,6.5859110283962777675910533755220816920516316031379709138998800570e-8,1.45729278e-73
3968,6.3748404985316487255838534551098291334580612632131040327753707673e-8,7.61615211e-74
4032,6.1737557619322873204099124432825947399394037937588216313621857331e-8,2.97991670e-73
4096,5.9820367402545700340266887920940881462235005746213486893072081157e-8,1.81713054e-73
8192,1.4930623730921403225971983957775937389111154199655172854389599292e-8,3.38846398e-74
16384,3.7292864082871180171630885991469840594847339537821076117146234980e-9,2.32101651e-75
32768,9.3186134290455009976391771018297002277954134075522109686652664686e-10,2.34895323e-77
65536,2.3290290382993096732374222762100913006828833874718155526010071601e-10,1.54322884e-79
131072,5.8217308264606891034384547339803478029051101608447510578785518466e-11,9.31157626e-80
262144,1.4553198043127624613422852439449467961389068427996389950827527794e-11,1.16394823e-80
524288,3.6381487740431616551462113671320767667192391884249227375825656571e-12,1.07487982e-80
1048576,9.0951714975794989353222280622016095076901040395361080495660377997e-13,1.34359981e-81
2097152,2.2737663172229661957448047678601642138270905558862751662034932673e-13,1.32970321e-81
4194304,5.6843807181980884140140283984438776158032589357824467742681498036e-14,1.66212902e-82
8388608,1.4210905603717844463165077953532298276168073460554516136407578557e-14,1.66000885e-82
16777216,3.5527203334169665120655054065337578187977266293217552693962507262e-15,2.07501106e-83
2^25,8.8817928822158857949222332609018960139292824187553937313280852983e-16,2.07480776e-83
2^26,2.2204471807704310348910016448619031637529765358540363445502372440e-16,2.59350969e-84
2^27,5.5511165948614859426057945053130537147369020057005333655625978378e-17,2.59379791e-84
2^28,1.3877789719153664366191588275626756820539696260519801057271820393e-17,3.24224738e-85
2^29,3.4694471998297216107778665062401199869716179149266567771793128691e-18,3.24309259e-85
2^30,8.6736177009275590705599828596587953216068124914526966084105771288e-19,4.05386574e-86
2^31,2.1684043865012484059737852984236335093214935671885395967106738737e-19,4.05599938e-86
2^32,5.4210109160900707388141300640389585459104189513053060530633201858e-20,5.06999923e-87
2^33,1.3552527225334177761945851203633330275500076703717040705235302582e-20,5.07534232e-87
2^34,3.3881317979487712395920263649699215457850461542697659370120379561e-21,6.34417790e-88
2^35,8.4703294840492136800507610994775966794296522629943979247845802301e-22,6.35756587e-88
2^36,2.1175823696167456263265093326428418268384455313626225431431477267e-22,7.94695734e-89
2^37,5.2939559222440187084913710505391688183005230030197439143994321233e-23,7.98057680e-89
2^38,1.3234889803295992429837876636009623066277853058302686714099477840e-23,9.97572100e-90
2^39,3.3087224505263978591463192850533068614276592082252519606350257929e-24,1.00605237e-89
2^40,8.2718061259335650178935775391370716293456017673606841149142060655e-25,1.25756546e-90
2^41,2.0679515314342838857771693049994927552266270129366990486383761094e-25,1.27915004e-90
2^42,5.1698788285226959223841283976806652718782399216497314452390139516e-26,1.59893755e-91
2^43,1.2924697071225935589400264665808638656874960734071435696271204056e-26,1.65488973e-91
2^44,3.2311742677961287482191779461576909138718219761409229372103474244e-27,2.06861216e-92
2^45,8.0779356694770596565581929855978765298736660408719523326971901237e-28,2.21921297e-92
2^46,2.0194839173675673526938089174473299584589529067600001286868398931e-28,2.77401622e-93
2^47,5.0487097934167466990560709635643504351461630699143805568429538909e-29,3.46752027e-94
2^48,1.2621774483539089980703015642858693327297302952264371190073266466e-29,4.33440034e-95
2^49,3.1554436208844176288599714145612936738745280113909487450496082766e-30,5.41800042e-96
2^50,7.8886090522105907761944037728352305623061162865959760776438275128e-31,6.77250053e-97
