u = -log2(cdf),v = pow2(-x),g,gg
7.6522071909409256972e-1,2.2925101080116780794e-1,6.4494041775988931073e-1,4.6170620542036686318e-1
7.9704213997977481240e-1,2.5000000000000000000e-1,6.5891300064729197020e-1,4.1720033994905839891e-1
8.1375332037603182633e-1,2.6106844560685346008e-1,6.6570206551490411539e-1,3.9550189435198300569e-1
8.3102912895691517377e-1,2.7262693316631441480e-1,6.7234909932368778835e-1,3.7420464799088116151e-1
8.4889430440226003321e-1,2.8469715868917291343e-1,6.7884618125907121242e-1,3.5333102314731999483e-1
8.6737487162750942557e-1,2.9730177875068026668e-1,6.8518540076780679545e-1,3.3290237201892899162e-1
8.8649821717293638338e-1,3.1046445301837101215e-1,6.9135887406700659233e-1,3.1293891081651255607e-1
9.0629316939670731555e-1,3.2420988866275241648e-1,6.9735876126667970634e-1,2.9345965726723970551e-1
9.2679008379469866262e-1,3.3856388673422318207e-1,7.0317728407307582900e-1,2.7448237191151498792e-1
9.4802093379221927870e-1,3.5355339059327376220e-1,7.0880674403523703691e-1,2.5602350357290076457e-1
9.7001940737654976432e-1,3.6920653648487482785e-1,7.1423954129211689373e-1,2.3809813936906535598e-1
9.9282100996458551774e-1,3.8555270635198520590e-1,7.1946819377246761691e-1,2.2071995961707663244e-1
1.0164631739269665064e0,4.0262258298731357705e-1,7.2448535679445205093e-1,2.0390119796837548548e-1
1.0409853752190034898e0,4.2044820762685727152e-1,7.2928384300664074977e-1,1.8765260708740715953e-1
1.0664292575995835797e0,4.3906304009332487078e-1,7.3385664260674280912e-1,1.7198343016315263126e-1
1.0928387649521799350e0,4.5850202160233561587e-1,7.3819694376913331352e-1,1.5690137851471514673e-1
1.1202602822572300255e0,4.7880164034928682347e-1,7.4229815320702537378e-1,1.4241261552074558541e-1
1.1487427858026202235e0,5.0000000000000000000e-1,7.4615391679003951434e-1,1.2852174706794277892e-1
1.1633979602466087740e0,5.1094857432705833912e-1,7.4798784118333643982e-1,1.2180153591096338063e-1
1.1783380032589646338e0,5.2213689121370692016e-1,7.4975814013300008457e-1,1.1523181867629300177e-1
1.1935698386905159952e0,5.3357020033841180909e-1,7.5146409578489896167e-1,1.0881273288946244032e-1
1.2091005842889438211e0,5.4525386633262882960e-1,7.5310500906709327938e-1,1.0254431941831338005e-1
1.2249375576571370509e0,5.5719337129794626815e-1,7.5468020031652397926e-1,9.6426522971787781690e-2
1.2410882824053330126e0,5.6939431737834582685e-1,7.5618900990011327202e-1,9.0459192706579926009e-2
1.2575604945035042045e0,5.8186242938878875691e-1,7.5763079882948036496e-1,8.4642082941416863231e-2
1.2743621488406663191e0,5.9460355750136053336e-1,7.5900494936846363545e-1,7.8974853978541922424e-2
1.2915014259980028429e0,6.0762367999023443906e-1,7.6031086563262909529e-1,7.3457073031782343648e-2
1.3089867392429289642e0,6.2092890603674202430e-1,7.6154797417993468085e-1,6.8088215260386451446e-2
1.3268267417514520601e0,6.3452547859586661128e-1,7.6271572459171075615e-1,6.2867664907618546096e-2
1.3450303340664279222e0,6.4841977732550483297e-1,7.6381359004310929731e-1,5.7794716542901323579e-2
1.3636066717995613154e0,6.6261832157987064732e-1,7.6484106786216760310e-1,5.2868576406096637914e-2
1.3825651735852566744e0,6.7712777346844636415e-1,7.6579768007662711022e-1,4.8088363852316299575e-2
1.4019155292946899352e0,6.9195494098191597744e-1,7.6668297394764404962e-1,4.3453112895455884343e-2
1.4216677085187459090e0,7.0710678118654752440e-1,7.6749652248952632195e-1,3.8961773848446746221e-2
1.4418319693287474618e0,7.2259040348852331002e-1,7.6823792497463015834e-1,3.4613215058025135089e-2
1.4624188673241932987e0,7.3841307296974965569e-1,7.6890680742255092788e-1,3.0406224731623076616e-2
1.4834392649770206174e0,7.5458221379671136988e-1,7.6950282307274490967e-1,2.6339512853794046472e-2
1.5049043412822175378e0,7.7110541270397041181e-1,7.7002565283972302516e-1,2.2411713189398041690e-2
1.5268256017249282889e0,7.8799042255394324323e-1,7.7047500574996347376e-1,1.8621385370585999032e-2
1.5492148885745219091e0,8.0524516597462715409e-1,7.7085061935969798457e-1,1.4967017064443220240e-2
1.5720843915164329553e0,8.2287773907698242226e-1,7.7115226015273603648e-1,1.1447026217976122044e-2
1.5954466586329307099e0,8.4089641525371454303e-1,7.7137972391750294632e-1,8.0597633769568184714e-3
1.6193146077443318926e0,8.5930964906123895781e-1,7.7153283610248122821e-1,4.8035140749763481676e-3
1.6437015381225412363e0,8.7812608018664974156e-1,7.7161145214926011379e-1,1.6765012889003517130e-3
1.6686211425891847661e0,8.9735453750155359321e-1,7.7161545780241562679e-1,-1.3231120432287491305e-3
1.6940875200109925394e0,9.1700404320467123174e-1,7.7154476939546315575e-1,-4.1972204459409593254e-3
1.7201151882054912905e0,9.3708381705514995067e-1,7.7139933411214608003e-1,-6.9477732759707857899e-3
1.7467190972704831928e0,9.5760328069857364694e-1,7.7117913022234769715e-1,-9.5767720421283725803e-3
1.7739146433512151609e0,9.7857206208770013451e-1,7.7088416729193948239e-1,-1.2086267679881217141e-2
1.8017176828595840967e0,1.0000000000000000000e0,7.7051448636590658686e-1,-1.4478357785223447910e-2
1.8301445471601776151e0,1.0218971486541166782e0,7.7007016012412144812e-1,-1.6755183812504771593e-2
1.8592120577384174225e0,1.0442737824274138403e0,7.6955129300916843524e-1,-1.8918928240975561475e-2
1.8889375418665540679e0,1.0671404006768236182e0,7.6895802132565656478e-1,-2.0971811714877750301e-2
1.9193388487837576155e0,1.0905077326652576592e0,7.6829051331049348108e-1,-2.2916090161972838108e-2
1.9504343664070593325e0,1.1143867425958925363e0,7.6754896917363206390e-1,-2.4754051895448087642e-2
1.9822430385904251499e0,1.1387886347566916537e0,7.6673362110884116661e-1,-2.6488014704179555735e-2
2.0147843829497828877e0,1.1637248587775775138e0,7.6584473327409406268e-1,-2.8120322936355728113e-2
2.0480785092723824857e0,1.1892071150027210667e0,7.6488260174121211952e-1,-2.9653344581477971081e-2
2.0821461385294422155e0,1.2152473599804688781e0,7.6384755441444697821e-1,-3.1089468355753597236e-2
2.1170086225116245542e0,1.2418578120734840486e0,7.6273995091773201834e-1,-3.2431100795883930181e-2
2.1526879641074935783e0,1.2690509571917332226e0,7.6156018245038304988e-1,-3.3680663366223255090e-2
2.1892068382457319042e0,1.2968395546510096659e0,7.6030867161107891973e-1,-3.4840589584244909079e-2
2.2265886135225398989e0,1.3252366431597412946e0,7.5898587219000494551e-1,-3.5913322169198008077e-2
2.2648573745363036762e0,1.3542555469368927283e0,7.5759226892909569993e-1,-3.6901310218772474639e-2
2.3040379449523018468e0,1.3839098819638319549e0,7.5612837725036854571e-1,-3.7807006418511233136e-2
2.3441559113209247192e0,1.4142135623730950488e0,7.5459474295239535435e-1,-3.8632864288616826382e-2
2.3852376476736042676e0,1.4451808069770466200e0,7.5299194187501689828e-1,-3.9381335472695491027e-2
2.4273103409213993441e0,1.4768261459394993114e0,7.5132057953246235466e-1,-4.0054867072865165475e-2
2.4704020170819489881e0,1.5091644275934227398e0,7.4958129071509506050e-1,-4.0655899035525300696e-2
2.5145415683612979766e0,1.5422108254079408236e0,7.4777473906006495919e-1,-4.1186861591946065007e-2
2.5597587811179136804e0,1.5759808451078864865e0,7.4590161659120793239e-1,-4.1650172757682982028e-2
2.6060843647370526169e0,1.6104903319492543082e0,7.4396264322859224884e-1,-4.2048235894660679346e-2
2.6535499814444995819e0,1.6457554781539648445e0,7.4195856626817252029e-1,-4.2383437339596757302e-2
2.7021882770895927309e0,1.6817928305074290861e0,7.3989015983207166813e-1,-4.2658144102254358464e-2
2.7520329129283653036e0,1.7186192981224779156e0,7.3775822429007128294e-1,-4.2874701636820431720e-2
2.8031185984385797265e0,1.7562521603732994831e0,7.3556358565295023852e-1,-4.3035431689506564418e-2
2.8554811251994034996e0,1.7947090750031071864e0,7.3330709493837030679e-1,-4.3142630225261283809e-2
2.9091574018694795276e0,1.8340080864093424635e0,7.3098962751006562858e-1,-4.3198565436267609481e-2
2.9641854902981773777e0,1.8741676341102999013e0,7.2861208239115003977e-1,-4.3205475834678116635e-2
3.0206046428058773651e0,1.9152065613971472939e0,7.2617538155241224264e-1,-4.3165568431812614891e-2
3.0784553406702374473e0,1.9571441241754002690e0,7.2368046917652345527e-1,-4.3081017005811561978e-2
3.1377793338565247565e0,2.0000000000000000000e0,7.2112831089913528628e-1,-4.2953960459502329521e-2
3.2610207968996288057e0,2.0885475648548276806e0,7.1585622174047057846e-1,-4.2580704031293009358e-2
3.3906899973569420426e0,2.1810154653305153184e0,7.1036723802789635551e-1,-4.2062156281436030095e-2
3.5271709659184669104e0,2.2775772695133833074e0,7.0466977489438390262e-1,-4.1414026867106615245e-2
3.6708723133063244455e0,2.3784142300054421334e0,6.9877251095714041471e-1,-4.0651341961579814836e-2
3.8222288440149210366e0,2.4837156241469680972e0,6.9268435966545294503e-1,-3.9788414363818764768e-2
3.9817032753354529403e0,2.5936791093020193319e0,6.8641443986500238541e-1,-3.8838819687833943936e-2
4.1497880683675968032e0,2.7085110938737854566e0,6.7997204575717333853e-1,-3.7815378536764061121e-2
4.3270073781416413258e0,2.8284271247461900976e0,6.7336661643731168910e-1,-3.6730144511126209385e-2
4.5139191304221354677e0,2.9536522918789986228e0,6.6660770519947210437e-1,-3.5594397848830892571e-2
4.7111172332413020409e0,3.0844216508158816472e0,6.5970494879687419221e-1,-3.4418644447026273050e-2
4.9192339317190617814e0,3.2209806638985086164e0,6.5266803684699878803e-1,-3.3212619973206099550e-2
5.1389423152687364800e0,3.3635856610148581721e0,6.4550668156798549508e-1,-3.1985298735767546355e-2
5.3709589868656947886e0,3.5125043207465989662e0,6.3823058802875154394e-1,-3.0744906952710237489e-2
5.6160469046728600873e0,3.6680161728186849270e0,6.3084942508908496252e-1,-2.9498940031683200458e-2
5.8750184069747556591e0,3.8304131227942945877e0,6.2337279719794877636e-1,-2.8254183455252369878e-2
6.1487384320734134029e0,4.0000000000000000000e0,6.1581021720847550895e-1,-2.7016736852100520108e-2
6.7441675880782952384e0,4.3620309306610306368e0,6.0046463953883948019e-1,-2.4584906127550182675e-2
7.4104417427438613633e0,4.7568284600108842669e0,5.8488600758334485738e-1,-2.2239602303295800795e-2
8.1567534241165943563e0,5.1873582186040386637e0,5.6914465091718719805e-1,-2.0007929061040881649e-2
8.9935258388181545141e0,5.6568542494923801952e0,5.5330729580175376202e-1,-1.7909022067249247425e-2
9.9325776832070079884e0,6.1688433016317632944e0,5.3743655844833535530e-1,-1.5955155754086075093e-2
1.0987309795484634414e1,6.7271713220297163442e0,5.2159055287599600325e-1,-1.4152833433519230287e-2
1.2172916541922909007e1,7.3360323456373698539e0,5.0582261316287357566e-1,-1.2503827417445446317e-2
1.3506625219449740155e1,8.0000000000000000000e0,4.9018112608906211271e-1,-1.1006143657992119149e-2
1.5007967198078855547e1,8.7240618613220612737e0,4.7470946689131883850e-1,-9.6548931822316845681e-3
1.6699085026809009465e1,9.5136569200217685337e0,4.5944602822406894629e-1,-8.4430598204431595995e-3
1.8605080293240237983e1,1.0374716437208077327e1,4.4442433052023769686e-1,-7.3621600812045950710e-3
2.0754407668883267983e1,1.1313708498984760390e1,4.2967320078557557364e-1,-6.4027962997788575933e-3
2.3179321298782850884e1,1.2337686603263526589e1,4.1521700640640785873e-1,-5.5551082870280720671e-3
2.5916380516805234513e1,1.3454342644059432688e1,4.0107593072646145721e-1,-4.8091316450659920391e-3
2.9007022799469175899e1,1.4672064691274739708e1,3.8726627784733508819e-1,-4.1550727826660974334e-3
3.2498212925996203367e1,1.6000000000000000000e1,3.7380079520649051771e-1,-3.5835116013497307208e-3
4.0902243395271249211e1,1.9027313840043537067e1,3.4793752791855522282e-1,-2.6528679873568768895e-3
5.1645239498031334012e1,2.2627416997969520781e1,3.2352945045043025860e-1,-1.9535053620312504467e-3
6.5390881064193393703e1,2.6908685288118865377e1,3.0058347602894094998e-1,-1.4323493863170217639e-3
8.2991468553067600580e1,3.2000000000000000000e1,2.7907906844002784900e-1,-1.0466142431996331988e-3
1.0554147811089526064e2,3.8054627680087074135e1,2.5897585882828393559e-1,-7.6265774507889582848e-4
1.3444632894417480809e2,4.5254833995939041562e1,2.4021985803180578381e-1,-5.5452828364110547052e-4
1.7151068418147091518e2,5.3817370576237730754e1,2.2274835124295249886e-1,-4.0250081474810562295e-4
2.1905183342177830910e2,6.4000000000000000000e1,2.0649364018385992450e-1,-2.9175446941325799364e-4
2.8004528079079137582e2,7.6109255360174148270e1,1.9138582600809598677e-1,-2.1125272448758730266e-4
3.5831168554664079368e2,9.0509667991878083123e1,1.7735482278786334985e-1,-1.5283447833382966226e-4
4.5875690020406333419e2,1.0763474115247546151e2,1.6433177144089835251e-1,-1.1049781729496949092e-4
5.8768069944067065854e2,1.2800000000000000000e2,1.5224993047337923498e-1,-8.5850622748911479783e-5
7.5317044178866305449e2,1.5221851072034829654e2,1.4104558322562713893e-1,-6.1498540719239666415e-5
9.6561222289566160304e2,1.8101933598375616625e2,1.3065794329362405523e-1,-4.4081485234696603816e-5
1.2383423022222471211e3,2.1526948230495092302e2,1.2102961957084181007e-1,-3.1616269586335076128e-5
