u = -log2(ccdf),v = log2(x),g,gg
7.4565811088512086189e-1,-5.4056838136270274380e-1,5.4866919716826032375e0,-2.1070414245109704767e1
7.5761249300213196795e-1,-4.7643804394298712771e-1,5.2461935581444282424e0,-1.9208017450467818345e1
7.6957044480581381911e-1,-4.1503749927884381855e-1,5.0264615368305114268e0,-1.7578287020658203383e1
7.8153027038496152863e-1,-3.5614381022527530426e-1,4.8249823503891609884e0,-1.6144352260173403237e1
7.9349032457030421090e-1,-2.9956028185890783960e-1,4.6396300464410522120e0,-1.4876337399394346641e1
8.0544901206278032709e-1,-2.4511249783653145564e-1,4.4685944524264229983e0,-1.3749830657282163413e1
8.1740478654646220161e-1,-1.9264507794239589256e-1,4.3103247443210876739e0,-1.2744730012101917105e1
8.2935614978882507987e-1,-1.4201900487242787928e-1,4.1634846932744996652e0,-1.1844363415502021944e1
8.4130165073086920846e-1,-9.3109404391481470676e-2,4.0269168651559961502e0,-1.1034811377477553641e1
8.5323988456942593641e-1,-4.5803689613124791194e-2,3.8996137512369441530e0,-1.0304380455656158203e1
8.6516949183381047825e-1,0.0000000000000000000e0,3.7806943136904125410e0,-9.6431904461633854462e0
8.8899760985596025272e-1,8.7462841250339408254e-2,3.5650029281999698343e0,-8.4961871120270554595e0
9.1277600042420008476e-1,1.6992500144231236291e-1,3.3746740864580771206e0,-7.5401688112888257542e0
9.3649532511527406743e-1,2.4792751344358549379e-1,3.2056331477718821093e0,-6.7353602237567075168e0
9.6014688196137395195e-1,3.2192809488736234787e-1,3.0546254288213456387e0,-6.0517704245262734220e0
9.8372257630094599287e-1,3.9231742277876028890e-1,2.9190205274652601788e0,-5.4664490748284521252e0
1.0072148921107070788e0,4.5943161863729725620e-1,2.7966700591102690208e0,-4.9615985934893965110e0
1.0306168639307464598e0,5.2356195605701287229e-1,2.6858025442666698673e0,-4.5232504802173332914e0
1.0539220494733801637e0,5.8496250072115618145e-1,2.5849446070628105325e0,-4.1403212349964308189e0
1.0771245029878423563e0,6.4385618977472469574e-1,2.4928611139283003387e0,-3.8039285188841351958e0
1.1002187494366827995e0,7.0043971814109216040e-1,2.4085091500571454028e0,-3.5068887890765224047e0
1.1231997595256513031e0,7.5488750216346854436e-1,2.3310022434656318704e0,-3.2433434601034169276e0
1.1460629256166658648e0,8.0735492205760410744e-1,2.2595822725461153321e0,-3.0084773946390227716e0
1.1688040385429760791e0,8.5798099512757212072e-1,2.1935972006210762275e0,-2.7983045940898434645e0
1.1914192653366598290e0,9.0689059560851852932e-1,2.1324832762890454680e0,-2.6095033924226983512e0
1.2139051278709583385e0,9.5419631038687520881e-1,2.0757506898192962373e0,-2.4392885264580513783e0
1.2362584824135072682e0,1.0000000000000000000e0,2.0229719284439654627e0,-2.2853109628556658329e0
1.2805566481822913743e0,1.0874628412503394083e0,1.9278218860541242386e0,-2.0183944671152690670e0
1.3242945800038070020e0,1.1699250014423123629e0,1.8445367990682196444e0,-1.7960572717848639399e0
1.3674572853221279270e0,1.2479275134435854938e0,1.7711564348854771487e0,-1.6089160572377901022e0
1.4100334585547604517e0,1.3219280948873623479e0,1.7061212489842757458e0,-1.4499194449959105441e0
1.4520150276106753872e0,1.3923174227787602889e0,1.6481758686222475675e0,-1.3136887034323529217e0
1.4933967465670511115e0,1.4594316186372972562e0,1.5962990695858388860e0,-1.1960654047873148826e0
1.5341758309349200424e0,1.5235619560570128723e0,1.5496521534542923863e0,-1.0937951515525022980e0
1.5743516319611907572e0,1.5849625007211561815e0,1.5075403359501524370e0,-1.0043026362610918068e0
1.6139253465143029268e0,1.6438561897747246957e0,1.4693834857827617402e0,-9.2552916317651744411e-1
1.6528997592560114370e0,1.7004397181410921604e0,1.4346936829290101174e0,-8.5581361860787139471e-1
1.6912790139920582130e0,1.7548875021634685444e0,1.4030578176843924513e0,-7.9380413638277649997e-1
1.7290684113045421773e0,1.8073549220576041074e0,1.3741239618893577810e0,-7.3839175892498349682e-1
1.7662742297874577404e0,1.8579809951275721207e0,1.3475905951488350673e0,-6.8866006748108086345e-1
1.8029035684260920961e0,1.9068905956085185293e0,1.3231980145775104701e0,-6.4384654706515447374e-1
1.8389642078751073004e0,1.9541963103868752088e0,1.3007214307717533709e0,-6.0331267152636611618e-1
1.8744644885953687185e0,2.0000000000000000000e0,1.2799653777311335382e0,-5.6652053629676001776e-1
1.9438195069691027338e0,2.0874628412503394083e0,1.2429530889890765383e0,-5.0240635680225743789e-1
2.0110428049122478169e0,2.1699250014423123629e0,1.2110298551327204159e0,-4.4860211877764836732e-1
2.0762119448670252550e0,2.2479275134435854938e0,1.1833137859090522753e0,-4.0296504125266082935e-1
2.1394060069300727971e0,2.3219280948873623479e0,1.1591082825954064741e0,-3.6388511727075242741e-1
2.2007041959655147614e0,2.3923174227787602889e0,1.1378565851166104991e0,-3.3013362495382605298e-1
2.2601848150902013482e0,2.4594316186372972562e0,1.1191089637538312308e0,-3.0075953593768238089e-1
2.3179245232199374526e0,2.5235619560570128723e0,1.1024986528508493750e0,-2.7501729706023274327e-1
2.3739978118853809753e0,2.5849625007211561815e0,1.0877239381254401593e0,-2.5231559702942224873e-1
2.4284766504781103449e0,2.6438561897747246957e0,1.0745346466960131410e0,-2.3218043853943100865e-1
2.4814302601422074063e0,2.7004397181410921604e0,1.0627218341183507906e0,-2.1422813239532599818e-1
2.5329249852532068403e0,2.7548875021634685444e0,1.0521098245399403390e0,-1.9814528299657529336e-1
2.5830242382952171007e0,2.8073549220576041074e0,1.0425500044620486384e0,-1.8367377217398609799e-1
2.6317884993420096454e0,2.8579809951275721207e0,1.0339159383495812553e0,-1.7059936464599747722e-1
2.6792753555779072914e0,2.9068905956085185293e0,1.0260994911971110102e0,-1.5874297024077962904e-1
2.7255395696062653799e0,2.9541963103868752088e0,1.0190077257020239884e0,-1.4795387759200420109e-1
2.7706331678833135068e0,3.0000000000000000000e0,1.0125604007382612001e0,-1.3810446650018547552e-1
2.8575035622181860307e0,3.0874628412503394083e0,1.0013297754128899259e0,-1.2080551567599729154e-1
2.9402520811921339036e0,3.1699250014423123629e0,9.9195113273727783993e-1,-1.0614851080470208349e-1
3.0192075881803765073e0,3.2479275134435854938e0,9.8407374753521180833e-1,-9.3612310179405382748e-2
3.0946659342319333342e0,3.3219280948873623479e0,9.7742460110649664455e-1,-8.2800635715078686772e-2
3.1668934446849465209e0,3.3923174227787602889e0,9.7178866551532795416e-1,-7.3407369486219569598e-2
3.2361301369327826381e0,3.4594316186372972562e0,9.6699479669862520384e-1,-6.5192686675575428448e-2
3.3025926355228063285e0,3.5235619560570128723e0,9.6290547799384778242e-1,-5.7966307771575799883e-2
3.3664767819199797085e0,3.5849625007211561815e0,9.5940925480154286964e-1,-5.1575531030282621086e-2
3.4279599531453755507e0,3.6438561897747246957e0,9.5641508084850557216e-1,-4.5896538719003093678e-2
3.4872031118306604731e0,3.7004397181410921604e0,9.5384804242935879349e-1,-4.0827986099865325237e-2
3.5443526135280902644e0,3.7548875021634685444e0,9.5164608936544001730e-1,-3.6286208487210936866e-2
3.5995417975322162155e0,3.8073549220576041074e0,9.4975751052628784380e-1,-3.2201592652714909494e-2
3.6528923863125602828e0,3.8579809951275721207e0,9.4813896627103483589e-1,-2.8515797773154864915e-2
3.7045157167136483307e0,3.9068905956085185293e0,9.4675394181258932616e-1,-2.5179604204455617874e-2
3.7545138238163299328e0,3.9541963103868752088e0,9.4557152179543408726e-1,-2.2151231748655241437e-2
3.8029803960408627238e0,4.0000000000000000000e0,9.4456541219833130535e-1,-1.9395012881558057736e-2
3.8956569144084598614e0,4.0874628412503394083e0,9.4299548866513762993e-1,-1.4580804305911599054e-2
3.9831575151416334426e0,4.1699250014423123629e0,9.4189988401129006071e-1,-1.0538643143945151292e-2
4.0660056610685277910e0,4.2479275134435854938e0,9.4117105362954203780e-1,-7.1185275787980059447e-3
4.1446518461982591674e0,4.3219280948873623479e0,9.4072780049326118624e-1,-4.2052017835907916338e-3
4.2194861527504124422e0,4.3923174227787602889e0,9.4050811822497072767e-1,-1.7088599966169571947e-3
4.2908482972035824181e0,4.4594316186372972562e0,9.4046417477147214051e-1,4.4135038863938563596e-4
4.3590357262378307284e0,4.5235619560570128723e0,9.4055873957071367269e-1,2.3019564812457746718e-3
4.4243101875753902437e0,4.5849625007211561815e0,9.4076260168817156485e-1,3.9185125693787886753e-3
4.4869030996434063768e0,4.6438561897747246957e0,9.4105267936852951899e-1,5.3280665107994177292e-3
4.5470199685294473964e0,4.7004397181410921604e0,9.4141061915778567973e-1,6.5609994024870185695e-3
4.6048440441028162886e0,4.7548875021634685444e0,9.4182174637232377290e-1,7.6424151482369611611e-3
4.6605393644764956325e0,4.8073549220576041074e0,9.4227427084857538892e-1,8.5932021704284173290e-3
4.7142533055717273466e0,4.8579809951275721207e0,9.4275868029269680169e-1,9.4308532055054471883e-3
4.7661187277832299786e0,4.9068905956085185293e0,9.4326727294674747879e-1,1.0170104466414032749e-2
4.8162557926993703190e0,4.9541963103868752088e0,9.4379379472424241387e-1,1.0823438449333137903e-2
4.8647735080917963537e0,5.0000000000000000000e0,9.4433315539342052430e-1,1.1401482764211945007e-2
4.9573388849975253411e0,5.0874628412503394083e0,9.4543455713153836491e-1,1.2366789055996345653e-2
5.0445095619182466441e0,5.1699250014423123629e0,9.4654661888867885566e-1,1.3124612175534588726e-2
5.1268692617332263044e0,5.2479275134435854938e0,9.4765280103274846966e-1,1.3718867449093271396e-2
5.2049129369554858481e0,5.3219280948873623479e0,9.4874217814338296414e-1,1.4182948471851969517e-2
5.2790637349698118981e0,5.3923174227787602889e0,9.4980765551946045025e-1,1.4542573909324855391e-2
5.3496861266904783680e0,5.4594316186372972562e0,9.5084477404794830563e-1,1.4817777989988268333e-2
5.4170961876389311710e0,5.5235619560570128723e0,9.5185089792004519962e-1,1.5024326764541552518e-2
5.4815697370867915811e0,5.5849625007211561815e0,9.5282465579862131368e-1,1.5174741728862796721e-2
5.5433488461594223934e0,5.6438561897747246957e0,9.5376555236603078458e-1,1.5279050234879218895e-2
5.6026470898195034559e0,5.7004397181410921604e0,9.5467369598046672733e-1,1.5345342748968857202e-2
5.6596538213174114116e0,5.7548875021634685444e0,9.5554960642022442978e-1,1.5380191571130653836e-2
5.7145376785197112679e0,5.8073549220576041074e0,9.5639407846537829850e-1,1.5388968865823402031e-2
5.7674494812256538624e0,5.8579809951275721207e0,9.5720808477844893612e-1,1.5376090621854689895e-2
5.8185246415749673036e0,5.9068905956085185293e0,9.5799270667257315757e-1,1.5345205510739530830e-2
5.8678851821265418742e0,5.9541963103868752088e0,9.5874908480955586736e-1,1.5299342330000821737e-2
5.9156414355075790802e0,6.0000000000000000000e0,9.5947838422540052175e-1,1.5241026019397435003e-2
6.0067323841944112770e0,6.0874628412503394083e0,9.6086038865871558893e-1,1.5095147638341884990e-2
6.0924959865486773478e0,6.1699250014423123629e0,9.6214776368782097781e-1,1.4920754690225338752e-2
6.1735165398538280530e0,6.2479275134435854938e0,9.6334898826873264373e-1,1.4727247813501255060e-2
6.2502876578593132138e0,6.3219280948873623479e0,9.6447184432413299885e-1,1.4521394502159950790e-2
6.3232300487159974715e0,6.3923174227787602889e0,9.6552338830385097665e-1,1.4308101744637234555e-2
6.3927051517459695698e0,6.4594316186372972562e0,9.6650997536602915949e-1,1.4090944493001363578e-2
6.4590257364858805867e0,6.5235619560570128723e0,9.6743730833805982484e-1,1.3872533057798398498e-2
6.5224642396607130186e0,6.5849625007211561815e0,9.6831049636812647782e-1,1.3654772253252007225e-2
6.5832593945280613628e0,6.6438561897747246957e0,9.6913411522487985072e-1,1.3439046569518771893e-2
6.6416215549842562222e0,6.7004397181410921604e0,9.6991226512464547691e-1,1.3226354028536414178e-2
6.6977370105615886401e0,6.7548875021634685444e0,9.7064862414890803279e-1,1.3017403952365985641e-2
6.7517715130423144913e0,6.8073549220576041074e0,9.7134649651958029707e-1,1.2812689037687157736e-2
6.8038731811543805659e0,6.8579809951275721207e0,9.7200885564943825653e-1,1.2612538929569864510e-2
6.8541749102603699130e0,6.9068905956085185293e0,9.7263838221962177084e-1,1.2417160336566448683e-2
6.9027963847724589398e0,6.9541963103868752088e0,9.7323749769214531981e-1,1.2226667263005143466e-2
6.9498457692613708761e0,7.0000000000000000000e0,9.7380839372173797075e-1,1.2041103922032342821e-2
7.0396116887988371031e0,7.0874628412503394083e0,9.7487329650769951827e-1,1.1684694927556183250e-2
7.1241568308012162761e0,7.1699250014423123629e0,9.7584693056869314193e-1,1.1347459404899343033e-2
7.2040532070077307477e0,7.2479275134435854938e0,9.7674081031741819121e-1,1.1028574550413949301e-2
7.2797838859694360753e0,7.3219280948873623479e0,9.7756458727587887322e-1,1.0727046398054226961e-2
7.3517604990637327251e0,7.3923174227787602889e0,9.7832640901732659237e-1,1.0441815106068388960e-2
7.4203366459823799768e0,7.4594316186372972562e0,9.7903319957767851301e-1,1.0171816786298504663e-2
7.4858182997581274663e0,7.5235619560570128723e0,9.7969088016043254368e-1,9.9160189575409846949e-3
7.5484719820546178256e0,7.5849625007211561815e0,9.8030454417019187906e-1,9.6734398856389886907e-3
7.6085312581038320964e0,7.6438561897747246957e0,9.8087859706854794039e-1,9.4431580685865823432e-3
7.6662019490794308668e0,7.7004397181410921604e0,9.8141686893753039663e-1,9.2243157282366066503e-3
7.7216663540674896618e0,7.7548875021634685444e0,9.8192270571245660617e-1,9.0161187120248416935e-3
7.7750866990361486514e0,7.8073549220576041074e0,9.8239904362247215852e-1,8.8178343084339234518e-3
7.8266079765269450024e0,7.8579809951275721207e0,9.8284847031784147318e-1,8.6287879182822348581e-3
7.8763603007358767547e0,7.9068905956085185293e0,9.8327327536999336505e-1,8.4483591699981185285e-3
7.9244608738888481870e0,7.9541963103868752088e0,9.8367549223260966028e-1,8.2759778424299847654e-3
7.9710156383916984413e0,8.0000000000000000000e0,9.8405693329847093454e-1,8.1111198155588149575e-3
8.0598633798673299443e0,8.0874628412503394083e0,9.8476380435663550956e-1,7.8020845624221416497e-3
8.1435739685199668474e0,8.1699250014423123629e0,9.8540497671585608861e-1,7.5178404968238546304e-3
8.2227081824624261314e0,8.2479275134435854938e0,9.8598947343318432306e-1,7.2554889915424612983e-3
8.2977398024169754590e0,8.3219280948873623479e0,9.8652471506613736585e-1,7.0125580127713721068e-3
8.3690727127600056988e0,8.3923174227787602889e0,9.8701686283838643011e-1,6.7869297630920568169e-3
8.4370539990214119839e0,8.4594316186372972562e0,9.8747107690704256993e-1,6.5767814237257809293e-3
8.5019841159510227545e0,8.5235619560570128723e0,9.8789171331154001859e-1,6.3805367361351843468e-3
8.5641248785222404197e0,8.5849625007211561815e0,9.8828247598012406057e-1,6.1968264143867641276e-3
8.6237058121062583100e0,8.6438561897747246957e0,9.8864653535039433312e-1,6.0244557005133437475e-3
8.6809292500651091095e0,8.7004397181410921604e0,9.8898662188016301047e-1,5.8623776835891522578e-3
8.7359744639227012156e0,8.7548875021634685444e0,9.8930510045672649038e-1,5.7096712711601360379e-3
8.7890010383185634168e0,8.8073549220576041074e0,9.8960403012113145403e-1,5.5655229235922792141e-3
8.8401516505699041924e0,8.8579809951275721207e0,9.8988521239202240656e-1,5.4292114412680479355e-3
8.8895543765587413656e0,8.9068905956085185293e0,9.9015023065829735773e-1,5.3000952376860639082e-3
8.9373246165930832529e0,8.9541963103868752088e0,9.9040048251557776769e-1,5.1776016450047073656e-3
8.9835667139833536735e0,9.0000000000000000000e0,9.9063720648368048386e-1,5.0612178883351558982e-3
9.0718365736052406000e0,9.0874628412503394083e0,9.9107435906987417734e-1,4.8449834899357404478e-3
9.1550247057977085543e0,9.1699250014423123629e0,9.9146917330062171690e-1,4.6482240071137435266e-3
9.2336840541344947944e0,9.2479275134435854938e0,9.9182768596712467831e-1,4.4683431451118229800e-3
9.3082819949322574157e0,9.3219280948873623479e0,9.9215482257048240822e-1,4.3031923381929585981e-3
9.3792171237399041432e0,9.3923174227787602889e0,9.9245464382861926918e-1,4.1509776969871829160e-3
9.4468321181888871904e0,9.4594316186372972562e0,9.9273052901826180874e-1,4.0101892745526095177e-3
9.5114237285284058095e0,9.5235619560570128723e0,9.9298531432736690791e-1,3.8795466508568615522e-3
9.5732506325777268310e0,9.5849625007211561815e0,9.9322139863760452080e-1,3.7579566061187269727e-3
9.6325396804097109574e0,9.6438561897747246957e0,9.9344082537691317602e-1,3.6444798595481753325e-3
9.6894909092675086786e0,9.7004397181410921604e0,9.9364534655155520143e-1,3.5383046836407789648e-3
9.7442816082978727578e0,9.7548875021634685444e0,9.9383647334250064800e-1,3.4387257883808152828e-3
9.7970696412385408349e0,9.8073549220576041074e0,9.9401551645646635229e-1,3.3451272844816418722e-3
9.8479961838816381425e0,9.8579809951275721207e0,9.9418361858219546100e-1,3.2569688329050396069e-3
9.8971879957862736740e0,9.9068905956085185293e0,9.9434178070407320351e-1,3.1737743046435560827e-3
9.9447593181956736428e0,9.9541963103868752088e0,9.9449088359318667928e-1,3.0951224340424977861e-3
9.9908134696089292235e0,1.0000000000000000000e1,9.9463170548044240892e-1,3.0206390672024346957e-3
1.0078736813066016458e1,1.0087462841250339408e1,9.9489119178478657352e-1,2.8828790324919920140e-3
1.0161612613567808168e1,1.0169925001442312363e1,9.9512491290854307205e-1,2.7582220524563500285e-3
1.0239988862148493511e1,1.0247927513443585494e1,9.9533662023896003980e-1,2.6448290031202114658e-3
1.0314328907529198697e1,1.0321928094887362348e1,9.9552936156487732327e-1,2.5411944846047180720e-3
1.0385028034674966169e1,1.0392317422778760289e1,9.9570563985850260467e-1,2.4460737859513458904e-3
1.0452426173667191644e1,1.0459431618637297256e1,9.9586753070800137311e-1,2.3584283254026694286e-3
1.0516817774503820098e1,1.0523561956057012872e1,9.9601677048322998563e-1,2.2773843154123397176e-3
1.0578459573880651409e1,1.0584962500721156181e1,9.9615482343384382382e-1,2.2022010445432070934e-3
1.0637576771874665670e1,1.0643856189774724696e1,9.9628293338828152583e-1,2.1322462538366649207e-3
1.0694367993826530096e1,1.0700439718141092160e1,9.9640216403917790538e-1,2.0669768159718251272e-3
1.0749009313285196646e1,1.0754887502163468544e1,9.9651343066089139255e-1,2.0059234260063107808e-3
1.0801657541455059346e1,1.0807354922057604107e1,9.9661752531977165541e-1,1.9486783606994698019e-3
1.0852452937987311713e1,1.0857980995127572121e1,9.9671513708874290234e-1,1.8948856092238308094e-3
1.0901521461117254958e1,1.0906890595608518529e1,9.9680686838833051990e-1,1.8442328539232178555e-3
1.0948976647997530039e1,1.0954196310386875209e1,9.9689324829639624740e-1,1.7964449071507688315e-3
1.0994921195838465052e1,1.1000000000000000000e1,9.9697474346529273206e-1,1.7512783035478441649e-3
1.1082642787358728848e1,1.1087462841250339408e1,9.9712468662294047781e-1,1.6679677171424710874e-3
1.1165337103104171519e1,1.1169925001442312363e1,9.9725948922849659746e-1,1.5928349390260536763e-3
1.1243549154466240572e1,1.1247927513443585494e1,9.9738138545772740890e-1,1.5247005557235924258e-3
1.1317739874153269798e1,1.1321928094887362348e1,9.9749218562631007146e-1,1.4626045238494836169e-3
1.1388302566571649203e1,1.1392317422778760289e1,9.9759337281925218123e-1,1.4057570363134151200e-3
1.1455575522137647278e1,1.1459431618637297256e1,9.9768617412347791785e-1,1.3535020952403447381e-3
1.1519851821245163209e1,1.1523561956057012872e1,9.9777161394793492512e-1,1.3052901026175984731e-3
1.1581387047252870592e1,1.1584962500721156181e1,9.9785055449107291116e-1,1.2606569580755493872e-3
1.1640405421798969539e1,1.1643856189774724696e1,9.9792372684173589811e-1,1.2192079235643281299e-3
1.1697104734505439433e1,1.1700439718141092160e1,9.9799175515674636922e-1,1.1806050284159873735e-3
1.1751660340629932613e1,1.1754887502163468544e1,9.9805517565456786459e-1,1.1445571371249677164e-3
1.1804228430440330929e1,1.1807354922057604107e1,9.9811445168114838767e-1,1.1108120430072979590e-3
1.1854948723934286921e1,1.1857980995127572121e1,9.9816998576702577014e-1,1.0791501196960828484e-3
1.1903946708001970460e1,1.1906890595608518529e1,9.9822212935636504545e-1,1.0493791824039639239e-3
1.1951335506204955832e1,1.1954196310386875209e1,9.9827119071770243887e-1,1.0213302972607592340e-3
1.1997217451269841027e1,1.2000000000000000000e1,9.9831744142216433419e-1,9.9485433997119581820e-4
1.2998486991090289555e1,1.3000000000000000000e1,9.9907392162394463060e-1,5.5664680304997740344e-4
1.3999182568715819854e1,1.4000000000000000000e1,9.9949460531063636987e-1,3.0781584828440678217e-4
1.4999560800602284567e1,1.5000000000000000000e1,9.9972613655174012524e-1,1.6861910155929768098e-4
1.5999765151814344453e1,1.6000000000000000000e1,9.9985248829586128775e-1,9.1654798744696996458e-5
1.6999874949590254910e1,1.7000000000000000000e1,9.9992095496601214774e-1,4.9497004834307654567e-5
1.7999933661002874665e1,1.8000000000000000000e1,9.9995783310412479724e-1,2.6582432527835656681e-5
1.8999964923415483971e1,1.9000000000000000000e1,9.9997759441815856079e-1,1.4207931248716716311e-5
1.9999981508108832838e1,2.0000000000000000000e1,9.9998813615664135541e-1,7.5622520152218060496e-6
2.0999990277238702056e1,2.1000000000000000000e1,9.9999373755588772958e-1,4.0102491303456439048e-6
2.1999994900206820306e1,2.2000000000000000000e1,9.9999670351771328294e-1,2.1196804961919404180e-6
2.2999997330895814405e1,2.3000000000000000000e1,9.9999826912899767212e-1,1.1171166435118550074e-6
2.3999998605843733767e1,2.4000000000000000000e1,9.9999909324963589406e-1,5.8719608394776629403e-7
2.4999999273119674919e1,2.5000000000000000000e1,9.9999952596740372731e-1,3.0791680285110104026e-7
2.5999999621658712172e1,2.6000000000000000000e1,9.9999975265499922053e-1,1.6111774882669327676e-7
2.6999999803378785330e1,2.7000000000000000000e1,9.9999987116314944387e-1,8.4138539071869531055e-8
2.7999999897964105052e1,2.8000000000000000000e1,9.9999993299939993715e-1,4.3859099399758269598e-8
2.8999999947119408107e1,2.9000000000000000000e1,9.9999996520861265319e-1,2.2824463961858127690e-8
2.9999999972628381677e1,3.0000000000000000000e1,9.9999998195876268874e-1,1.1859688930522195433e-8
3.0999999985848529604e1,3.1000000000000000000e1,9.9999999065660953056e-1,6.1535728910134453105e-9
3.1999999992691434173e1,3.2000000000000000000e1,9.9999999516691885971e-1,3.1886506452458745371e-9
3.2999999996229301769e1,3.3000000000000000000e1,9.9999999750276647739e-1,1.6502574189174550053e-9
3.3999999998056443224e1,3.4000000000000000000e1,9.9999999871103676256e-1,8.5309475667032668163e-10
3.4999999998999117782e1,3.5000000000000000000e1,9.9999999933534514319e-1,4.4053040160729476510e-10
3.5999999999485006976e1,3.6000000000000000000e1,9.9999999965758595255e-1,2.2725671237829016239e-10
3.6999999999735227530e1,3.7000000000000000000e1,9.9999999982374966677e-1,1.1712411196720826252e-10
3.7999999999863975786e1,3.8000000000000000000e1,9.9999999990935317862e-1,6.0309933858682890793e-11
3.8999999999930168904e1,3.9000000000000000000e1,9.9999999995341576194e-1,3.1028905815267022234e-11
3.9999999999964174957e1,4.0000000000000000000e1,9.9999999997607746726e-1,1.5951422364886967287e-11
4.0999999999981632731e1,4.1000000000000000000e1,9.9999999998772352679e-1,8.1941959148285815139e-12
4.1999999999990588992e1,4.2000000000000000000e1,9.9999999999370415994e-1,4.2063402862652044320e-12
4.2999999999995180809e1,4.3000000000000000000e1,9.9999999999677327835e-1,2.1577914506909760731e-12
4.3999999999997533561e1,4.4000000000000000000e1,9.9999999999834723821e-1,1.1062061130654694651e-12
4.4999999999998738359e1,4.5000000000000000000e1,9.9999999999915391864e-1,5.6675828199850164214e-13
4.5999999999999354969e1,4.6000000000000000000e1,9.9999999999956710910e-1,2.9020674706408630626e-13
4.6999999999999670379e1,4.7000000000000000000e1,9.9999999999977862940e-1,1.4851711723838205726e-13
4.7999999999999831637e1,4.8000000000000000000e1,9.9999999999988685206e-1,7.5965318210436438983e-14
4.8999999999999914042e1,4.9000000000000000000e1,9.9999999999994219476e-1,3.8836095200707741366e-14
4.9999999999999956133e1,5.0000000000000000000e1,9.9999999999997048170e-1,1.9844698985772433201e-14
1.2800000000000000000e2,1.2800000000000000000e2,1.0000000000000000000e0,0.0000000000000000000e0
